id,subject,body,expected_category,predicted_category,classifier_reason,exact_match
promotions_1253,Anniversary Special: Buy one get one free,Your favorite items are back. Don't wait: example.com/1208 Use code SAVE50 for 40% off.,promotions,promotions,"This email advertises a buy-one-get-one-free deal and a discount code, which is a clear marketing promotion.",True
promotions_1108,"Refer friends, get $15 credit",Discover {items}. Shop new styles: example.com/5483 Code FLASH60 for extra 40% off.,promotions,promotions,"The email advertises shopping deals, referral credit, and a discount code, which are clear marketing and sales content.",True
verify_code_1628,Temporary security pass: 983866,"For account verification, enter: 229149. Do not share this number.",verify_code,verify_code,The email contains a one-time security/pass verification code for account verification.,True
updates_71,Digital Twin City Infrastructure Scan,CityModel_2024_V2 completed. Point cloud access: urban-simulation.data API documentation.,updates,updates,"This appears to be a system or project status notification reporting completion of an infrastructure scan and providing access information, not a promotion or verification message.",True
verify_code_515,New device approval: 383921,"Enter 229149 to confirm password reset. If you didn't request this, ignore.",verify_code,verify_code,The email contains a one-time code used to confirm a password reset request.,True
forum_1900,Mod application open for Book Club,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: support.site/ticket/456.,forum,forum,This appears to be a community or group-related announcement about moderation applications and rule changes for a book club.,True
promotions_180,Elite Tier Upgrade: $100 Welcome Bonus,"New Platinum members receive instant credit: loyaltyprogram.com/upgrade-offer. Enjoy complimentary shipping, extended returns, and personal shopper service. Status match available.",promotions,promotions,"The email advertises an upgrade offer with a welcome bonus and member perks, which is a marketing promotion.",True
spam_976,Amazon investment opportunity 300% ROI,"Immediate action required! Your subscription payment failed. Update payment: scam-delivery.com Or call ""support"": 888-SCAM.",spam,spam,"The email uses scam-like investment bait and a fake urgent payment failure message with a suspicious link and phone number, which are strong indicators of phishing/spam.",True
promotions_793,Early access: Clearance event start now,Celebrate with 50% off entire purchase. Valid 72: example.com/3311 Code: BIRTHDAY.,promotions,promotions,The email advertises a limited-time discount offer with a promo code to encourage a purchase.,True
verify_code_1969,Temporary PIN: 404583,Use this code: 907472 to complete sign-in. Expires in 10 minutes.,verify_code,verify_code,"The email contains a temporary sign-in code with an expiration time, indicating it is a one-time verification code.",True
verify_code_1624,Twitter Authenticator: 426706,PIN 748435 required for account verification on Microsoft.,verify_code,verify_code,"The email contains one-time PIN codes for account verification, which is characteristic of authentication or login verification messages.",True
social_media_1272,New friend request from Mike Chen,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,"This is a social platform notification about a new friend request and shared memory content, which fits social media updates.",True
updates_1989,Community announcement: Pool closure,biometric login activated per your request. Learn: banking.com/statements.,updates,spam,"The message combines an unrelated subject with suspicious banking language and a generic link, which is characteristic of phishing or scam spam.",False
spam_844,Refund confirmation #R-2873-UK,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 555-0199.",spam,spam,"The email uses urgent language and a suspicious shortened link to push payment action, which is characteristic of phishing or scam spam rather than a legitimate account update.",True
social_media_470,New follower: Sarah Johnson,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,This is a social network notification about a new follower and shared photo album activity.,True
forum_1189,Warning: Violation in React Performance,"Thread: ""Discussion 386"" started by PixelArtist. Settings: wiki.site/page/789.",forum,forum,"The email references a discussion thread started by a user and points to a wiki/page setting, which is typical of a forum or online group notification.",True
social_media_1466,Watch later: Recommended video,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,"This is a social-style notification about a memory/album recommendation tied to a person and shared content, which fits social network updates.",True
