id,subject,body,proposed_category,expected_accepted,predicted_accepted,judge_decision,judge_reasoning,decision_correct
promotions_1253,Anniversary Special: Buy one get one free,Your favorite items are back. Don't wait: example.com/1208 Use code SAVE50 for 40% off.,promotions,True,True,accept,"The email is clearly a marketing offer with discounts and a promo code, so promotions fits well.",True
promotions_1108,"Refer friends, get $15 credit",Discover {items}. Shop new styles: example.com/5483 Code FLASH60 for extra 40% off.,promotions,True,True,accept,"The email is clearly promotional, offering referral credit and a discount code to encourage shopping.",True
forum_1670,Moderation notice: Community Guidelines update,Database upgrade completed successfully. New features: new search and notifications. FAQ: support.site/ticket/456.,updates,False,True,accept,"The email mainly provides an informational notice about a completed upgrade and new features, so updates is a reasonable fit.",False
verify_code_1628,Temporary security pass: 983866,"For account verification, enter: 229149. Do not share this number.",verify_code,True,True,accept,"The email’s main purpose is to provide a one-time account verification code, which fits verify_code.",True
spam_142,Verizon Payment Overdue,Service disconnection imminent. Pay $89.99: verizon-payment-now.tel Account#: VZ-772B.,updates,False,True,accept,"This is an account/payment status notice warning of overdue service and possible disconnection, so a broad updates label reasonably fits.",False
updates_2089,Software update available (v3.1),"Car Rental Main pool closed Aug 20-22 for maintenance, Aug 15, 2-4AM PST. {assignment} confirmed. Manage booking: company.com/updates.",social_media,False,False,reject,"The email is a maintenance/booking update notice, not social-network activity or platform interaction.",True
forum_979,Event reminder: Meetup,"You earned ""Achievement 2"" badge. View profile: forum.com/thread/123.",social_media,False,False,reject,"The email is a forum/activity notification about earning a badge, not genuine social-media interaction; an updates/notification label would fit better.",True
verify_code_871,Temporary PIN: 603613,"Token: 713300 expires at 14:30 GMT. For support, contact support@service.com.",spam,False,False,reject,"This is a one-time PIN/token notification, not clearly junk or deceptive spam.",True
spam_1371,Missed delivery confirmation EF-789,Your $1000 refund is processed. Claim: bit.ly/fakeprize Complete within 2hrshrs.,social_media,False,False,reject,"The email is not about social-network activity; it appears to be a suspicious prize/refund scam message, so social_media is a clear mismatch.",True
updates_71,Digital Twin City Infrastructure Scan,CityModel_2024_V2 completed. Point cloud access: urban-simulation.data API documentation.,updates,True,True,accept,"The email mainly provides an informational status notice about a completed infrastructure scan and access details, so updates is a reasonable fit.",True
