id,subject,body,expected_category,predicted_category,classifier_reason,exact_match
promotions_1253,Anniversary Special: Buy one get one free,Your favorite items are back. Don't wait: example.com/1208 Use code SAVE50 for 40% off.,promotions,promotions,"This email advertises a sales offer with a discount code and buy-one-get-one-free deal, which is clearly promotional marketing content.",True
promotions_1108,"Refer friends, get $15 credit",Discover {items}. Shop new styles: example.com/5483 Code FLASH60 for extra 40% off.,promotions,promotions,"The email advertises shopping deals, referral rewards, and a discount code, indicating a marketing promotion.",True
verify_code_1628,Temporary security pass: 983866,"For account verification, enter: 229149. Do not share this number.",verify_code,verify_code,The email contains a one-time account verification/security code and instructs the user not to share it.,True
updates_71,Digital Twin City Infrastructure Scan,CityModel_2024_V2 completed. Point cloud access: urban-simulation.data API documentation.,updates,updates,"This appears to be a system or project status notification about a completed infrastructure scan with access details, not a promotion, social update, forum message, or verification code.",True
verify_code_515,New device approval: 383921,"Enter 229149 to confirm password reset. If you didn't request this, ignore.",verify_code,verify_code,"The email contains a one-time code to confirm a password reset, which is a verification/security action.",True
forum_1900,Mod application open for Book Club,Revised rules effective immediately. Key changes: citation requirements for news posts. Review: support.site/ticket/456.,forum,forum,"This appears to be a community or group-related announcement about moderator applications and rule changes for a book club, which fits forum or online group communications.",True
promotions_180,Elite Tier Upgrade: $100 Welcome Bonus,"New Platinum members receive instant credit: loyaltyprogram.com/upgrade-offer. Enjoy complimentary shipping, extended returns, and personal shopper service. Status match available.",promotions,promotions,"The email advertises a loyalty program upgrade with a welcome bonus and additional perks, which is a marketing offer.",True
spam_976,Amazon investment opportunity 300% ROI,"Immediate action required! Your subscription payment failed. Update payment: scam-delivery.com Or call ""support"": 888-SCAM.",spam,spam,"The email uses deceptive urgent language, a suspicious payment-update link, and a likely scam phone number, indicating phishing or fraud.",True
promotions_793,Early access: Clearance event start now,Celebrate with 50% off entire purchase. Valid 72: example.com/3311 Code: BIRTHDAY.,promotions,promotions,The email advertises a limited-time discount offer with a promo code to encourage a purchase.,True
verify_code_1969,Temporary PIN: 404583,Use this code: 907472 to complete sign-in. Expires in 10 minutes.,verify_code,verify_code,"The email contains a temporary sign-in PIN with an expiration time, indicating a one-time verification code.",True
verify_code_1624,Twitter Authenticator: 426706,PIN 748435 required for account verification on Microsoft.,verify_code,verify_code,"The email contains one-time PIN codes for account verification, which is characteristic of authentication or login verification messages.",True
social_media_1272,New friend request from Mike Chen,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,This is a social-network style notification about a new friend request and shared memories content.,True
updates_1989,Community announcement: Pool closure,biometric login activated per your request. Learn: banking.com/statements.,updates,spam,"The message mixes an unrelated community-style subject with suspicious banking/login language and a vague link, which is characteristic of phishing or junk email.",False
spam_844,Refund confirmation #R-2873-UK,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 555-0199.",spam,spam,"The email uses urgent language and a suspicious shortened link to push payment action, which is characteristic of phishing or scam spam rather than a legitimate account update.",True
social_media_470,New follower: Sarah Johnson,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,This is a social-network style notification about a new follower and a shared photo album.,True
forum_1189,Warning: Violation in React Performance,"Thread: ""Discussion 386"" started by PixelArtist. Settings: wiki.site/page/789.",forum,forum,"The email references a thread discussion started by a user and includes a page link, which is characteristic of a forum or online group notification.",True
social_media_1466,Watch later: Recommended video,"""You were at Grand Canyon with Alex"" - view album: platform.com/memories/beach.",social_media,social_media,"This is a social-platform style notification about shared memories/media content, which fits social media updates rather than transactional or promotional email.",True
spam_93,LinkedIn Connection Request,"Recruiter wants to connect: ""Hiring for $200k remote jobs"". Respond: linkedin-fake.jobs/connect/rec883.",spam,spam,"This appears to be a deceptive unsolicited message using a fake LinkedIn-style connection request and suspicious job offer link, which is characteristic of phishing or scam spam.",True
updates_747,Software update available (v5.0),We've updated our Privacy Policy. Review changes: banking.com/statements Effective Sep 1.,updates,updates,This is a system/account notification about a software or policy update rather than a marketing message or verification code.,True
spam_87,Crypto Investment Opportunity,Double your Bitcoin in 48hrs! Limited slots open: btc-double-now.crypto Risk-free guarantee.,spam,spam,"The email is an unsolicited high-risk investment pitch promising unrealistic returns and using scam-like language, which is characteristic of spam.",True
forum_392,Warning: Violation in Python Coding Challenge,"You earned ""Achievement 1"" badge. View profile: forum.com/thread/123.",forum,forum,"The email references a badge earned and a profile/thread link on a forum-style site, indicating a community or discussion board notification.",True
social_media_1485,Watch later: Recommended photo,"""You were at Grand Canyon with Alex"" - view album: social.com/albums/vacation2018.",social_media,social_media,"This is a social-network-style photo/album notification about shared memories and viewing an album, which fits social media updates.",True
social_media_1079,Watch later: Recommended photo,story from Tokyo received 678 likes and 67 comments. See insights: platform.com/analytics/content.,social_media,social_media,"This is a social platform notification about engagement on a photo, including likes, comments, and insights.",True
verify_code_191,Media Embargo Release: 398012,Press release authorization code: 398012. Confirms scheduled publication at 9AM ET. Breaking embargo incurs maximum contractual penalty. Multimedia assets distributed upon entry.,verify_code,verify_code,"The email centers on a one-time authorization code used to confirm a scheduled release, which fits the verification code category.",True
spam_1340,Your Netflix was used on new device,"Immediate action required! Your subscription payment failed. Update payment: bit.ly/fakeprize Or call ""support"": 1-800-FAKE.",spam,spam,"The email uses urgent scare tactics and a suspicious shortened link/phone number to trick the recipient, which is characteristic of phishing spam.",True
spam_1930,IRS Tax Refund Approval #RP-3344,Invoice INV-6789 for $1000 ready. View: bit.ly/fakeprize Dispute within 24hrshrs.,spam,spam,"The email uses a fake IRS/tax refund lure, suspicious shortened link, and urgent invoice language typical of phishing or scam spam.",True
social_media_823,Watch later: Recommended story,"""College reunion photos"" - view album: platform.com/memories/beach.",social_media,social_media,"This is a content recommendation to view a photo album, which matches a social platform-style notification or engagement update.",True
promotions_1625,FLASH SALE: 80% off tools,Deal ends {time}! {items} at lowest prices. Shop now: example.com/7302 Use code: FLASH60.,promotions,promotions,"The email advertises a flash sale with discounts, a promo code, and a shopping link, which is characteristic of marketing content.",True
verify_code_1516,Temporary security pass: 986632,"Use 884383 as your verification code. Device: Samsung Galaxy S22. Location: Seattle, WA.",verify_code,verify_code,The email contains a one-time verification code and device/location login details for account security.,True
forum_360,New featured guide: gaming,"You earned ""Achievement 3"" badge. View profile: forum.com/thread/123.",forum,forum,"The email references a badge earned and a profile/thread link on a forum platform, indicating a forum or online community notification.",True
